,Return,Minimum_Risk,GOOG,NKE,LMT,CAT,TSLA,AMZN,TMO,CSIQ,HPE,MU,DELL,AMD,BHC,ROK,TTWO,risk_free
0,0.081,0.127,0.0,0.0,0.186,0.038,0.0,0.055,0.089,0.076,0.103,0.0,0.0,0.058,0.0,0.092,0.0,0.302
1,0.082,0.131,0.0,0.0,0.192,0.04,0.0,0.057,0.092,0.078,0.106,0.0,0.0,0.06,0.0,0.094,0.0,0.282
2,0.084,0.134,0.0,0.0,0.196,0.041,0.0,0.058,0.095,0.081,0.109,0.0,0.0,0.062,0.0,0.097,0.0,0.262
3,0.086,0.138,0.0,0.0,0.201,0.042,0.0,0.059,0.098,0.083,0.112,0.0,0.0,0.063,0.0,0.1,0.0,0.242
4,0.088,0.142,0.0,0.0,0.206,0.043,0.0,0.061,0.101,0.085,0.115,0.0,0.0,0.065,0.0,0.103,0.0,0.222
5,0.09,0.145,0.0,0.0,0.211,0.044,0.0,0.063,0.103,0.087,0.118,0.0,0.0,0.067,0.0,0.105,0.0,0.202
6,0.091,0.149,0.0,0.0,0.217,0.044,0.0,0.064,0.106,0.089,0.121,0.0,0.0,0.069,0.0,0.108,0.0,0.182
7,0.093,0.153,0.0,0.0,0.222,0.045,0.0,0.066,0.109,0.091,0.124,0.0,0.0,0.07,0.0,0.111,0.0,0.161
8,0.095,0.156,0.0,0.0,0.227,0.046,0.0,0.067,0.111,0.094,0.127,0.0,0.0,0.072,0.0,0.114,0.0,0.141
9,0.097,0.16,0.0,0.0,0.233,0.047,0.0,0.069,0.114,0.096,0.13,0.0,0.0,0.074,0.0,0.117,0.0,0.121
10,0.099,0.163,0.0,0.0,0.237,0.047,0.0,0.07,0.117,0.098,0.133,0.0,0.0,0.075,0.0,0.12,0.0,0.101
11,0.1,0.167,0.0,0.0,0.243,0.049,0.0,0.072,0.12,0.1,0.136,0.0,0.0,0.077,0.0,0.123,0.0,0.081
12,0.102,0.171,0.0,0.0,0.248,0.051,0.0,0.073,0.123,0.103,0.138,0.0,0.0,0.079,0.0,0.126,0.0,0.06
13,0.104,0.174,0.0,0.0,0.253,0.051,0.0,0.074,0.126,0.105,0.14,0.0,0.0,0.081,0.0,0.128,0.0,0.041
14,0.106,0.178,0.0,0.0,0.258,0.051,0.0,0.076,0.129,0.108,0.144,0.0,0.0,0.082,0.0,0.131,0.0,0.021
15,0.108,0.182,0.0,0.0,0.263,0.052,0.0,0.078,0.132,0.11,0.147,0.0,0.0,0.084,0.0,0.134,0.0,0.001
16,0.109,0.186,0.0,0.0,0.248,0.059,0.0,0.078,0.121,0.115,0.149,0.0,0.0,0.093,0.0,0.137,0.0,0.0
17,0.111,0.189,0.0,0.0,0.229,0.064,0.0,0.078,0.113,0.122,0.153,0.0,0.0,0.101,0.0,0.14,0.0,0.0
18,0.113,0.194,0.0,0.0,0.212,0.069,0.0,0.079,0.103,0.127,0.156,0.0,0.0,0.11,0.0,0.145,0.0,0.0
19,0.115,0.198,0.0,0.0,0.194,0.074,0.0,0.079,0.095,0.133,0.159,0.0,0.0,0.119,0.0,0.148,0.0,0.0
