,return,risk,GOOG,NKE,LMT,CAT,TSLA,AMZN,TMO,CSIQ,HPE,AMD,BHC,ROK,TTWO,DELL,MU,Risk_Free
0,0.08,0.126,0.0,0.0,0.185,0.038,0.0,0.055,0.088,0.076,0.102,0.058,0.0,0.091,0.0,0.0,0.0,0.308
1,0.082,0.129,0.0,0.0,0.19,0.039,0.0,0.056,0.091,0.078,0.105,0.059,0.0,0.093,0.0,0.0,0.0,0.288
2,0.084,0.133,0.0,0.0,0.195,0.04,0.0,0.058,0.094,0.08,0.108,0.061,0.0,0.096,0.0,0.0,0.0,0.268
3,0.085,0.137,0.0,0.0,0.2,0.041,0.0,0.059,0.097,0.082,0.111,0.063,0.0,0.099,0.0,0.0,0.0,0.248
4,0.087,0.14,0.0,0.0,0.204,0.043,0.0,0.061,0.1,0.084,0.114,0.065,0.0,0.102,0.0,0.0,0.0,0.228
5,0.089,0.144,0.0,0.0,0.209,0.043,0.0,0.062,0.102,0.087,0.117,0.066,0.0,0.104,0.0,0.0,0.0,0.209
6,0.091,0.148,0.0,0.0,0.215,0.044,0.0,0.064,0.105,0.089,0.12,0.068,0.0,0.107,0.0,0.0,0.0,0.189
7,0.093,0.151,0.0,0.0,0.22,0.045,0.0,0.065,0.107,0.091,0.123,0.07,0.0,0.11,0.0,0.0,0.0,0.169
8,0.094,0.155,0.0,0.0,0.225,0.046,0.0,0.067,0.11,0.093,0.126,0.071,0.0,0.113,0.0,0.0,0.0,0.149
9,0.096,0.158,0.0,0.0,0.231,0.047,0.0,0.068,0.113,0.095,0.129,0.073,0.0,0.116,0.0,0.0,0.0,0.129
10,0.098,0.162,0.0,0.0,0.236,0.048,0.0,0.07,0.116,0.097,0.132,0.075,0.0,0.119,0.0,0.0,0.0,0.108
11,0.1,0.166,0.0,0.0,0.241,0.049,0.0,0.071,0.119,0.099,0.135,0.076,0.0,0.122,0.0,0.0,0.0,0.088
12,0.102,0.169,0.0,0.0,0.246,0.05,0.0,0.073,0.122,0.102,0.137,0.078,0.0,0.125,0.0,0.0,0.0,0.068
13,0.103,0.173,0.0,0.0,0.251,0.051,0.0,0.074,0.124,0.104,0.139,0.08,0.0,0.127,0.0,0.0,0.0,0.049
14,0.105,0.177,0.0,0.0,0.256,0.051,0.0,0.075,0.128,0.107,0.143,0.082,0.0,0.13,0.0,0.0,0.0,0.03
15,0.107,0.18,0.0,0.0,0.261,0.052,0.0,0.077,0.13,0.109,0.146,0.083,0.0,0.132,0.0,0.0,0.0,0.009
16,0.109,0.184,0.0,0.0,0.255,0.057,0.0,0.078,0.125,0.113,0.148,0.089,0.0,0.135,0.0,0.0,0.0,0.0
17,0.11,0.188,0.0,0.0,0.238,0.061,0.0,0.078,0.117,0.119,0.151,0.097,0.0,0.139,0.0,0.0,0.0,0.0
18,0.112,0.192,0.0,0.0,0.22,0.067,0.0,0.079,0.107,0.124,0.154,0.106,0.0,0.143,0.0,0.0,0.0,0.0
19,0.114,0.196,0.0,0.0,0.202,0.071,0.0,0.079,0.099,0.13,0.158,0.115,0.0,0.147,0.0,0.0,0.0,0.0
